query,rank,score,date,week_id,chunk_index,text_len,top_k_days,top_k_chunks,chunk_size,overlap,source_day_md,text,config_id,text_preview,label,comment
Когда я чувствую скуку?,1,0.82517534,2026-06-12,2026-W24,4,467,5,5,600,100,data/processed/days_md/2026-06-12.md,"вда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался разобраться со скукой. Читал манхвы, при
этом ощущая себя опустошенным. Наверное, сейчас я в
дофаминовой яме и нужно просто потерпеть.
Потом после прохождения новеллы стало намного лучше: в
голове появилось больше ясности, да и настроение
поднялось.
Вечером ещё погулял по городу. Много думаю о себе и своих
делах.

Здоровья, здоровья, здоровья и силы в момент выбора!",k5_c600,"вда меня бесит, что они уж слишком часто упоминт мои слабости, хоть и ради шутки. Потом я старался разобраться со скукой. Читал манхвы, при этом ощущая себя опустошенным. Наверное, сейчас я в дофаминовой яме и нужно просто потерпеть. Потом после прохождения новеллы стало намного лучше: в голове появилось больше ясности, да и настроение поднялось. В...",2,
Когда я чувствую скуку?,2,0.8207596,2026-05-26,2026-W22,1,600,5,5,600,100,data/processed/days_md/2026-05-26.md,"потребляю контент к которому
привык, но уже в своих мыслях. Думаю, это естественный
переходный процесс. Надеюсь, скоро я окончательно
перестану погружаться в чужие истории, чтобы сбежать от
реальности.

Сделал всю рутину и в 12 начал потреблять контент:
послушал музыку, почитал новеллу, съел удон.
Решил сегодня поиграть в Европку от скуки. Вроде бы не
самое лучшее решение, но мне действительно было нечего
делать.
В общем, за день часа 3-4, наверное, я наиграл.
А так, от скуки пошел сегодня вечером на турники. По сути, я
должен бы был идти завтра, но утром я уезжаю в Москву и
приеду только вече",k5_c600,"потребляю контент к которому привык, но уже в своих мыслях. Думаю, это естественный переходный процесс. Надеюсь, скоро я окончательно перестану погружаться в чужие истории, чтобы сбежать от реальности. Сделал всю рутину и в 12 начал потреблять контент: послушал музыку, почитал новеллу, съел удон. Решил сегодня поиграть в Европку от скуки. Вроде бы...",2,
Когда я чувствую скуку?,3,0.81957006,2026-06-12,2026-W24,3,600,5,5,600,100,data/processed/days_md/2026-06-12.md,"воим принципам и не меняй их на
одобрение других.
Наслаждайся обычными делами.
Будь честен, в первую очередь, перед собой.
Правильного ответа нет.
Эх, вроде бы грустно, а вроде и приятно.

Сегодня встал в 11:11 утра. Во рту было гадко.
Я быстро момылся пробрался , пацаны тоже скоро
проснулись и мы вместе поели. Поболтали, в комнату
поиграли, в теннис зарубились и разошлись.
Я не особо хочу разбирать микромоменты моего общения с
ними. Я просто вёд себя как всегда: учтиво по отношению ко
всем.
Правда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался р",k5_c600,"воим принципам и не меняй их на одобрение других. Наслаждайся обычными делами. Будь честен, в первую очередь, перед собой. Правильного ответа нет. Эх, вроде бы грустно, а вроде и приятно. Сегодня встал в 11:11 утра. Во рту было гадко. Я быстро момылся пробрался , пацаны тоже скоро проснулись и мы вместе поели. Поболтали, в комнату поиграли, в тенни...",1,
Когда я чувствую скуку?,4,0.80780506,2026-06-12,2026-W24,1,599,5,5,600,100,data/processed/days_md/2026-06-12.md,"письмо
автора и великолепную постановку.
Да, иногда бывают и скучные моменты, когда нет особого
развития, но они также важны для понимания истории и
персонажей, не назвал бы это минусом.
Почему-то хочу поставить 9/10, а не 10. Может, потому что не
было вау эффекта? Хотя, вроде и он был. Ладно, будет
9.5/10, из-за скучного эпизода в парке развлечений - там

переборщили с количеством скучных событий, слишком
растянули.
А теперь просто хочу подумать над самой историей.
На самом деле, прописана гениально - всё встаёт на свои
места, при том что она крайне интересна. Вот иногда
думаешь: ситуация бе",k5_c600,"письмо автора и великолепную постановку. Да, иногда бывают и скучные моменты, когда нет особого развития, но они также важны для понимания истории и персонажей, не назвал бы это минусом. Почему-то хочу поставить 9/10, а не 10. Может, потому что не было вау эффекта? Хотя, вроде и он был. Ладно, будет 9.5/10, из-за скучного эпизода в парке развлечени...",0,
Когда я чувствую скуку?,5,0.8068396,2026-03-31,2026-W14,1,776,5,5,600,100,data/processed/days_md/2026-03-31.md,"тоговый тест. Так что
не зря готовился.
Рассказали с типами презентацию - всё ок.
На физру сходил, а потом пошли с Андреем на скалодром.

Недавно я поранил себе палец и теперь он начал
гноиться(пока что только боль есть без гноя). Но на
скалодром я все же пошел.
Пространство очень крутое, мы с Андреем очень хорошо
показали за 2-3 часа. Он мне офигенно всё объяснил и я
даже свог пройти трассу-пяьёрку. Главное - что я по технике
стал больше понимать.
Да и просто интересно было.
По дороге домой я снова общался с иишкой, хоть и был
очень уставший.
Время сегодня пролетело незаметно.
Погода топовая

нова общался с иишкой, хоть и был
очень уставший.
Время сегодня пролетело незаметно.
Погода топовая
Петя заболел немного.

Здоровья, здоровья, здоровья и силы в момент выбора!",k5_c600,"тоговый тест. Так что не зря готовился. Рассказали с типами презентацию - всё ок. На физру сходил, а потом пошли с Андреем на скалодром. Недавно я поранил себе палец и теперь он начал гноиться(пока что только боль есть без гноя). Но на скалодром я все же пошел. Пространство очень крутое, мы с Андреем очень хорошо показали за 2-3 часа. Он мне офиген...",0,
Когда я чувствую скуку?,1,0.8201345,2026-05-26,2026-W22,1,1072,7,7,800,150,data/processed/days_md/2026-05-26.md,"аться в чужие истории, чтобы сбежать от
реальности.

Сделал всю рутину и в 12 начал потреблять контент:
послушал музыку, почитал новеллу, съел удон.
Решил сегодня поиграть в Европку от скуки. Вроде бы не
самое лучшее решение, но мне действительно было нечего
делать.
В общем, за день часа 3-4, наверное, я наиграл.
А так, от скуки пошел сегодня вечером на турники. По сути, я
должен бы был идти завтра, но утром я уезжаю в Москву и
приеду только вечером, так что решил сегодня расправиться
со спортом - правильное решение.
Пообщался с иишкой насчёт моей жизни за рамками
карьеры. И вот главный тезис: ""Я доверяю себе, потому что я
регулярно веду себя как человек, которого уважаю.""
Я иду по правильному курсу, но всё время боюсь наступить
не туда, отсюда и нервозность.
И вечером сел в Европку.
Немно

как человек, которого уважаю.""
Я иду по правильному курсу, но всё время боюсь наступить
не туда, отсюда и нервозность.
И вечером сел в Европку.
Немного помог маме с телефоном, немного повесился с
Петей.

Хороший день.
Здоровья, здоровья, здоровья и силы в момент выбора!",k7_c800,"аться в чужие истории, чтобы сбежать от реальности. Сделал всю рутину и в 12 начал потреблять контент: послушал музыку, почитал новеллу, съел удон. Решил сегодня поиграть в Европку от скуки. Вроде бы не самое лучшее решение, но мне действительно было нечего делать. В общем, за день часа 3-4, наверное, я наиграл. А так, от скуки пошел сегодня вечеро...",2,
Когда я чувствую скуку?,2,0.81553584,2026-03-31,2026-W14,1,525,7,7,800,150,data/processed/days_md/2026-03-31.md,"ранил себе палец и теперь он начал
гноиться(пока что только боль есть без гноя). Но на
скалодром я все же пошел.
Пространство очень крутое, мы с Андреем очень хорошо
показали за 2-3 часа. Он мне офигенно всё объяснил и я
даже свог пройти трассу-пяьёрку. Главное - что я по технике
стал больше понимать.
Да и просто интересно было.
По дороге домой я снова общался с иишкой, хоть и был
очень уставший.
Время сегодня пролетело незаметно.
Погода топовая
Петя заболел немного.

Здоровья, здоровья, здоровья и силы в момент выбора!",k7_c800,"ранил себе палец и теперь он начал гноиться(пока что только боль есть без гноя). Но на скалодром я все же пошел. Пространство очень крутое, мы с Андреем очень хорошо показали за 2-3 часа. Он мне офигенно всё объяснил и я даже свог пройти трассу-пяьёрку. Главное - что я по технике стал больше понимать. Да и просто интересно было. По дороге домой я с...",0,
Когда я чувствую скуку?,3,0.81529224,2026-06-12,2026-W24,2,800,7,7,800,150,data/processed/days_md/2026-06-12.md,"дать за небольшими изменениям
Соджиро, за удивительным характером Аоко и
миловидностью Алисы. Чувствуется жизнь в этих героях, а
также любовь.
Что я могу подчерпнуть из этой истории.
Оставайся верен своим принципам и не меняй их на
одобрение других.
Наслаждайся обычными делами.
Будь честен, в первую очередь, перед собой.
Правильного ответа нет.
Эх, вроде бы грустно, а вроде и приятно.

Сегодня встал в 11:11 утра. Во рту было гадко.
Я быстро момылся пробрался , пацаны тоже скоро
проснулись и мы вместе поели. Поболтали, в комнату
поиграли, в теннис зарубились и разошлись.
Я не особо хочу разбирать микромоменты моего общения с
ними. Я просто вёд себя как всегда: учтиво по отношению ко
всем.
Правда меня бесит, что они уж слишком часто упоминт мои
слабости, хоть и ради шутки.
Потом я старался р",k7_c800,"дать за небольшими изменениям Соджиро, за удивительным характером Аоко и миловидностью Алисы. Чувствуется жизнь в этих героях, а также любовь. Что я могу подчерпнуть из этой истории. Оставайся верен своим принципам и не меняй их на одобрение других. Наслаждайся обычными делами. Будь честен, в первую очередь, перед собой. Правильного ответа нет. Эх,...",1,
Когда я чувствую скуку?,4,0.8145121,2026-04-20,2026-W17,1,396,7,7,800,150,data/processed/days_md/2026-04-20.md,"ть спринт, который можно пробежать и в
другом темпе - это нагружает мой мозг и я всё меньше хочу

бегать.
Я не хочу бросать ds, но пока что я просто устал.
Делал алгоритмы. Да, было неприятно но несколько задач я
всё же сделал.
По физическому состоянию всё +- норм, однако я чаще стал
замечать сухость и кислоту в горле - нужно что-то сделать.
Здоровья, здоровья, здоровья и силы в момент выбора!",k7_c800,"ть спринт, который можно пробежать и в другом темпе - это нагружает мой мозг и я всё меньше хочу бегать. Я не хочу бросать ds, но пока что я просто устал. Делал алгоритмы. Да, было неприятно но несколько задач я всё же сделал. По физическому состоянию всё +- норм, однако я чаще стал замечать сухость и кислоту в горле - нужно что-то сделать. Здоровь...",1,
Когда я чувствую скуку?,5,0.813596,2026-03-31,2026-W14,0,800,7,7,800,150,data/processed/days_md/2026-03-31.md,"годня слушал про рэдрика Шухарта. Рад, что в
четвертой главе он снова появился, надеюсь, с его семьёй всё
будет хорошо.
Утром встал, поел и пошел в уник. Не быстрым темпом, хотя я
и опаздывал, так как понимал, что на англ препод обычно
сама опаздывает.
В электричке готовился к англу, читал текст презентации и
немного с иишкой насчёт ДС пообщался.
На первой паре по англу я много ошибся в диктанте. Если
честно, ожидал чего-то более понятного и нормального. А на
второй паре уже сам хорошо написал итоговый тест. Так что
не зря готовился.
Рассказали с типами презентацию - всё ок.
На физру сходил, а потом пошли с Андреем на скалодром.

Недавно я поранил себе палец и теперь он начал
гноиться(пока что только боль есть без гноя). Но на
скалодром я все же пошел.
Пространство очень крутое, мы с Андре",k7_c800,"годня слушал про рэдрика Шухарта. Рад, что в четвертой главе он снова появился, надеюсь, с его семьёй всё будет хорошо. Утром встал, поел и пошел в уник. Не быстрым темпом, хотя я и опаздывал, так как понимал, что на англ препод обычно сама опаздывает. В электричке готовился к англу, читал текст презентации и немного с иишкой насчёт ДС пообщался. Н...",0,
